symbol,entry_time,exit_time,holding_days,shares,entry_price,exit_price,entry_cost,exit_cost,gross_pnl,net_pnl,return_pct,is_win
ICICIBANK,2023-06-02 03:45:00,2023-06-13 03:45:00,11,368,943.47,935.43,520.71,516.44,-2958.51,-3995.66,-0.0085,False
HDFCBANK,2023-06-06 03:45:00,2023-06-20 03:45:00,14,181,804.23,801.67,218.31,217.69,-462.08,-898.09,-0.0032,False
INFY,2023-06-02 03:45:00,2023-06-20 03:45:00,18,230,1309.65,1293.35,451.76,446.28,-3749.34,-4647.38,-0.0124,False
ICICIBANK,2023-06-20 03:45:00,2023-06-27 03:45:00,7,82,921.41,929.54,113.31,114.35,666.21,438.54,0.0088,True
INFY,2023-06-02 03:45:00,2023-06-27 03:45:00,25,35,1309.65,1279.36,68.75,67.18,-1060.31,-1196.23,-0.0231,False
INFY,2023-06-06 03:45:00,2023-06-27 03:45:00,21,3,1289.24,1279.36,5.8,5.76,-29.65,-41.21,-0.0077,False
RELIANCE,2023-06-06 03:45:00,2023-06-27 03:45:00,21,44,1146.68,1151.58,75.67,76.02,215.45,63.76,0.0043,True
RELIANCE,2023-06-13 03:45:00,2023-06-27 03:45:00,14,172,1152.02,1151.58,297.17,297.16,-75.07,-669.4,-0.0004,False
RELIANCE,2023-06-20 03:45:00,2023-06-27 03:45:00,7,77,1176.28,1151.58,135.84,133.03,-1901.93,-2170.8,-0.021,False
HDFCBANK,2023-06-06 03:45:00,2023-07-04 03:45:00,28,67,804.23,861.29,80.81,86.57,3823.5,3656.12,0.071,True
HDFCBANK,2023-06-13 03:45:00,2023-07-04 03:45:00,21,33,795.45,861.29,39.37,42.64,2172.94,2090.93,0.0828,True
ICICIBANK,2023-06-20 03:45:00,2023-07-11 03:45:00,21,159,921.41,947.93,219.72,226.12,4215.94,3770.1,0.0288,True
RELIANCE,2023-07-04 03:45:00,2023-07-11 03:45:00,7,292,1212.04,1269.83,530.79,556.28,16873.16,15786.1,0.0477,True
HDFCBANK,2023-06-13 03:45:00,2023-07-18 03:45:00,35,149,795.45,848.58,177.75,189.69,7916.07,7548.63,0.0668,True
HDFCBANK,2023-06-27 03:45:00,2023-07-18 03:45:00,21,89,821.89,848.58,109.7,113.3,2375.39,2152.38,0.0325,True
HDFCBANK,2023-07-11 03:45:00,2023-07-18 03:45:00,7,192,831.92,848.58,239.55,244.43,3198.67,2714.69,0.02,True
ICICIBANK,2023-06-20 03:45:00,2023-07-25 03:45:00,35,132,921.41,998.5,182.41,197.74,10175.88,9795.74,0.0837,True
ICICIBANK,2023-07-04 03:45:00,2023-07-25 03:45:00,21,20,947.72,998.5,28.43,29.96,1015.54,957.15,0.0536,True
INFY,2023-07-25 03:45:00,2023-08-01 03:45:00,7,49,1337.67,1361.32,98.3,100.07,1158.87,960.5,0.0177,True
RELIANCE,2023-07-25 03:45:00,2023-08-01 03:45:00,7,50,1247.62,1276.86,93.56,95.78,1461.89,1272.55,0.0234,True
TCS,2023-07-25 03:45:00,2023-08-01 03:45:00,7,9,3399.2,3413.29,45.88,46.09,126.84,34.88,0.0041,True
HDFCBANK,2023-07-25 03:45:00,2023-08-08 03:45:00,14,125,842.75,825.44,157.99,154.8,-2163.64,-2476.42,-0.0205,False
HDFCBANK,2023-08-01 03:45:00,2023-08-08 03:45:00,7,98,827.64,825.44,121.64,121.36,-215.75,-458.75,-0.0027,False
INFY,2023-07-25 03:45:00,2023-08-08 03:45:00,14,144,1337.67,1392.15,288.89,300.76,7845.85,7256.2,0.0407,True
RELIANCE,2023-07-25 03:45:00,2023-08-08 03:45:00,14,150,1247.62,1263.37,280.67,284.31,2361.68,1796.7,0.0126,True
TCS,2023-07-25 03:45:00,2023-08-08 03:45:00,14,37,3399.2,3482.31,188.62,193.3,3075.04,2693.12,0.0244,True
ICICIBANK,2023-07-04 03:45:00,2023-08-16 03:45:00,43,63,947.72,953.97,89.54,90.17,393.7,213.99,0.0066,True
ICICIBANK,2023-07-18 03:45:00,2023-08-16 03:45:00,29,93,978.49,953.97,136.48,133.1,-2280.01,-2549.59,-0.0251,False
ICICIBANK,2023-07-18 03:45:00,2023-08-22 03:45:00,35,61,978.49,955.92,89.52,87.48,-1376.6,-1553.6,-0.0231,False
ICICIBANK,2023-08-01 03:45:00,2023-08-22 03:45:00,21,90,1002.15,955.92,135.27,129.07,-4160.61,-4424.95,-0.0461,False
ICICIBANK,2023-08-08 03:45:00,2023-08-22 03:45:00,14,68,976.24,955.92,99.56,97.52,-1381.49,-1578.57,-0.0208,False
INFY,2023-08-22 03:45:00,2023-08-29 03:45:00,7,4,1405.4,1423.29,8.43,8.54,71.54,54.57,0.0127,True
INFY,2023-08-22 03:45:00,2023-09-05 03:45:00,14,2,1405.4,1464.27,4.22,4.39,117.73,109.12,0.0419,True
RELIANCE,2023-08-22 03:45:00,2023-09-05 03:45:00,14,166,1259.08,1209.39,313.46,301.19,-8247.57,-8862.22,-0.0395,False
HDFCBANK,2023-08-16 03:45:00,2023-09-12 03:45:00,27,3,791.95,819.59,3.56,3.69,82.93,75.68,0.0349,True
