variant,friction_bps,return_pct,cagr_pct,sharpe,max_dd_pct,total_costs,is_above_cash,is_above_risk_free
Variant A (Baseline),0.0,18.72,21.4,1.326,6.11,0.0,True,True
Variant A (Baseline),10.0,15.45,17.63,1.02,6.46,30253.19,True,True
Variant A (Baseline),20.0,12.32,14.03,0.713,6.78,59718.79,True,True
Variant A (Baseline),30.0,9.2,10.46,0.397,7.12,88380.58,True,True
Variant A (Baseline),50.0,3.28,3.72,-0.23,7.87,143277.3,True,False
Variant B (Turnover-Penalized),0.0,12.72,14.49,0.787,5.95,0.0,True,True
Variant B (Turnover-Penalized),10.0,12.57,14.32,0.772,5.95,1341.32,True,True
Variant B (Turnover-Penalized),20.0,12.42,14.15,0.755,5.96,2673.81,True,True
Variant B (Turnover-Penalized),30.0,12.28,13.98,0.739,5.97,4008.13,True,True
Variant B (Turnover-Penalized),50.0,11.99,13.65,0.708,5.97,6652.84,True,True
Variant C (Monthly),0.0,14.86,16.95,0.899,5.46,0.0,True,True
Variant C (Monthly),10.0,13.9,15.84,0.812,5.69,8749.73,True,True
Variant C (Monthly),20.0,12.96,14.76,0.726,5.92,17442.13,True,True
Variant C (Monthly),30.0,12.06,13.73,0.643,6.14,26050.96,True,True
Variant C (Monthly),50.0,10.24,11.64,0.471,6.61,43145.43,True,True
Variant E (Monthly Pen+Deadband),0.0,12.3,14.0,0.667,6.18,0.0,True,True
Variant E (Monthly Pen+Deadband),10.0,12.22,13.92,0.66,6.18,721.88,True,True
Variant E (Monthly Pen+Deadband),20.0,12.15,13.84,0.653,6.18,1444.07,True,True
Variant E (Monthly Pen+Deadband),30.0,12.08,13.75,0.645,6.19,2166.54,True,True
Variant E (Monthly Pen+Deadband),50.0,11.93,13.59,0.631,6.2,3612.39,True,True
Benchmark EW Weekly,0.0,15.07,17.19,0.864,8.56,0.0,True,True
Benchmark EW Weekly,10.0,14.88,16.97,0.848,8.57,1813.78,True,True
Benchmark EW Weekly,20.0,14.71,16.77,0.833,8.57,3681.06,True,True
Benchmark EW Weekly,30.0,14.49,16.53,0.814,8.59,5495.35,True,True
Benchmark EW Weekly,50.0,14.07,16.04,0.777,8.62,9031.04,True,True
