symbol,rows,start_date,end_date,missing_trading_days,duplicates,nan_rows,negative_prices,negative_volume,high_low_violations,open_close_violations,abnormal_jumps,status,anomalies_count
HDFCBANK,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
ICICIBANK,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
SBIN,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
KOTAKBANK,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
AXISBANK,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
BAJFINANCE,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
JIOFIN,763,2023-08-21,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
TCS,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
INFY,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
HCLTECH,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
WIPRO,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
TECHM,1240,2021-09-16,2026-09-16,4,0,0,0,0,0,0,0,PASS,1
RELIANCE,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
ONGC,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
BPCL,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
IOC,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
ITC,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
HINDUNILVR,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
NESTLEIND,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
BRITANNIA,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
TATACONSUM,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
TITAN,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
TRENT,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,1,WARNING,2
MARUTI,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
M&M,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
BAJAJ-AUTO,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
EICHERMOT,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
SUNPHARMA,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
CIPLA,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
DRREDDY,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
DIVISLAB,1240,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
APOLLOHOSP,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
LT,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
BEL,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
HAL,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
SIEMENS,1240,2021-09-16,2026-09-16,4,0,0,0,0,0,0,0,PASS,1
TATASTEEL,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
JSWSTEEL,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
HINDALCO,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
GRASIM,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
ULTRACEMCO,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
NTPC,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
POWERGRID,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
COALINDIA,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
BHARTIARTL,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
ADANIPORTS,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,1,WARNING,2
ADANIENT,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,4,WARNING,2
YESBANK,1241,2021-09-16,2026-09-16,3,0,0,0,0,0,0,0,PASS,1
