,return_1d,return_3d,return_5d,return_10d,return_20d,return_60d,log_return_1d,gap_return,price_location_20d,sma_5,price_to_sma_5_ratio,sma_10,price_to_sma_10_ratio,sma_20,price_to_sma_20_ratio,sma_50,price_to_sma_50_ratio,sma_100,price_to_sma_100_ratio,sma_200,price_to_sma_200_ratio,ema_9,price_to_ema_9_ratio,ema_21,price_to_ema_21_ratio,ema_50,price_to_ema_50_ratio,ema_9_to_21_spread,sma_20_to_50_spread,sma_50_to_200_spread,rsi_14,rsi_momentum_5d,roc_5d,roc_10d,roc_20d,roc_60d,momentum_norm_5d,momentum_norm_10d,momentum_norm_20d,momentum_norm_60d,return_acceleration_5d,volatility_10d,volatility_20d,volatility_60d,atr_14,atr_pct_14,candle_range_pct,downside_volatility_20d,volume_change_1d,volume_sma_10d,volume_to_sma_10_ratio,volume_sma_20d,volume_to_sma_20_ratio,volume_momentum_5d,turnover,turnover_sma_20d,relative_return_5d,relative_return_20d,relative_return_60d,benchmark_ratio,relative_ratio_roc_20d,regime_bench_above_sma50,regime_bench_above_sma200,regime_bench_return_20d,regime_bench_volatility_20d,regime_market_state,has_sufficient_history,has_full_warmup
return_1d,1.0,0.6014,0.4975,0.3537,0.2797,0.1764,0.9984,0.3128,0.3752,-0.005,0.7608,-0.0071,0.58,-0.0085,0.4384,-0.0096,0.2972,-0.0112,0.2257,-0.011,0.1673,-0.0054,0.6472,-0.0076,0.4761,-0.0092,0.3352,0.1545,0.0464,0.017,0.3617,0.4334,0.4975,0.3537,0.2797,0.1764,0.5303,0.4026,0.3265,0.2027,0.3631,-0.0878,-0.0687,-0.0409,-0.02,-0.1778,-0.2888,-0.1786,-0.0198,-0.0301,0.0702,-0.0183,0.0387,0.0011,0.0046,-0.0016,0.4385,0.2598,0.1607,0.0027,0.2636,0.1241,0.0262,0.1101,0.0488,0.1148,,0.01
return_3d,0.6014,1.0,0.7932,0.5585,0.4473,0.2787,0.6018,0.2192,0.5484,-0.0113,0.9471,-0.0163,0.8363,-0.0191,0.6675,-0.0209,0.4629,-0.0227,0.3455,-0.0221,0.2575,-0.0127,0.8586,-0.0172,0.6984,-0.0201,0.5123,0.331,0.0802,0.0295,0.5552,0.6857,0.7932,0.5585,0.4473,0.2787,0.7786,0.5765,0.4713,0.2952,0.5871,0.0205,0.0174,0.0126,-0.019,-0.1362,-0.1813,-0.1743,-0.0119,0.0273,0.0715,0.0231,0.0676,-0.0127,0.027,-0.0086,0.6905,0.4029,0.2521,0.0046,0.4048,0.1668,0.0657,0.1982,0.0575,0.1683,,0.0041
return_5d,0.4975,0.7932,1.0,0.7187,0.547,0.3419,0.5019,0.1603,0.6437,-0.0027,0.8286,-0.0118,0.935,-0.0167,0.7978,-0.0202,0.5661,-0.0226,0.4244,-0.0231,0.3162,-0.0069,0.9125,-0.0138,0.8097,-0.0185,0.6176,0.4933,0.1171,0.0387,0.6638,0.8234,1.0,0.7187,0.547,0.3419,0.9691,0.729,0.5703,0.3569,0.7261,-0.018,-0.0183,-0.0125,-0.0234,-0.1814,-0.2066,-0.255,0.0012,0.0253,0.0338,0.0155,0.0307,-0.0159,0.0103,-0.0092,0.8728,0.4815,0.295,0.0107,0.4839,0.2211,0.0932,0.2625,0.0608,0.2313,,-0.0079
return_10d,0.3537,0.5585,0.7187,1.0,0.7104,0.451,0.358,0.1139,0.745,0.0223,0.5874,0.0114,0.8398,-0.0001,0.919,-0.0067,0.7048,-0.0105,0.5401,-0.0122,0.4015,0.0156,0.8363,0.0047,0.8857,-0.0036,0.7439,0.7494,0.2199,0.0619,0.7908,0.4293,0.7187,1.0,0.7104,0.451,0.7015,0.9707,0.7157,0.4438,0.0445,-0.0107,0.0009,-0.0021,-0.0043,-0.1628,-0.1492,-0.3113,-0.0122,0.0164,0.0135,-0.0003,0.0202,-0.0193,0.0029,-0.0193,0.6317,0.6273,0.3859,0.031,0.6292,0.2854,0.1111,0.3373,0.0391,0.3155,,0.0078
return_20d,0.2797,0.4473,0.547,0.7104,1.0,0.5963,0.2829,0.08,0.7582,0.0238,0.4632,0.016,0.6268,0.0019,0.8518,-0.0158,0.8688,-0.0225,0.6988,-0.0259,0.5271,0.0181,0.6809,0.0049,0.8669,-0.0093,0.8615,0.9139,0.5598,0.1206,0.8416,0.1911,0.547,0.7104,1.0,0.5963,0.5357,0.6985,0.9732,0.5709,0.0847,0.002,0.0409,0.0368,-0.0075,-0.1234,-0.1116,-0.384,0.0084,0.0515,0.0047,0.0422,-0.0181,-0.015,-0.0074,-0.0051,0.4713,0.8707,0.5086,0.0306,0.8706,0.3499,0.1722,0.4965,-0.015,0.4039,,0.0108
return_60d,0.1764,0.2787,0.3419,0.451,0.5963,1.0,0.1779,0.0858,0.446,0.0459,0.2888,0.0411,0.397,0.0328,0.5311,0.0078,0.8041,-0.0224,0.9399,-0.0371,0.8005,0.0423,0.4306,0.0323,0.618,0.0116,0.841,0.7205,0.7801,0.534,0.6411,0.0422,0.3419,0.451,0.5963,1.0,0.3322,0.4398,0.5759,0.9539,0.0481,0.0288,0.0388,0.0106,0.0238,-0.0806,-0.0537,-0.1879,-0.0096,0.0638,-0.0046,0.0594,-0.0071,-0.024,-0.0083,-0.0077,0.287,0.5048,0.8534,0.0493,0.5031,0.3507,0.2721,0.3216,-0.049,0.344,,0.0001
log_return_1d,0.9984,0.6018,0.5019,0.358,0.2829,0.1779,1.0,0.2983,0.3694,-0.004,0.7636,-0.0063,0.5846,-0.0078,0.4432,-0.0091,0.3009,-0.0107,0.2278,-0.0103,0.1675,-0.0046,0.6525,-0.0069,0.4811,-0.0086,0.3391,0.1608,0.0489,0.0143,0.3585,0.4264,0.5019,0.358,0.2829,0.1779,0.545,0.4161,0.3379,0.2106,0.3648,-0.1094,-0.0863,-0.0525,-0.0237,-0.1999,-0.3301,-0.1977,-0.0196,-0.0316,0.0549,-0.0196,0.0199,0.0013,-0.008,-0.0041,0.4445,0.263,0.1622,0.0034,0.2673,0.1249,0.0263,0.1109,0.0455,0.116,,0.0096
gap_return,0.3128,0.2192,0.1603,0.1139,0.08,0.0858,0.2983,1.0,0.129,-0.026,0.2482,-0.026,0.1859,-0.0256,0.1307,-0.0267,0.0945,-0.0288,0.0923,-0.0323,0.0947,-0.0257,0.1987,-0.0259,0.1444,-0.0269,0.1112,0.0257,0.0156,0.0653,0.1455,0.1892,0.1603,0.1139,0.08,0.0858,0.0995,0.0655,0.0377,0.0519,0.1192,0.1452,0.131,0.0985,-0.0022,0.1254,0.0786,0.0848,-0.0112,0.0513,0.0378,0.0476,0.0521,0.0001,0.0155,-0.0143,0.0915,0.054,0.062,-0.0155,0.0516,0.057,0.0251,0.0674,0.0631,0.0597,,0.0013
price_location_20d,0.3752,0.5484,0.6437,0.745,0.7582,0.446,0.3694,0.129,1.0,0.029,0.5728,0.0204,0.7229,0.009,0.8331,-0.0008,0.703,-0.0052,0.5411,-0.0068,0.396,0.0235,0.7485,0.0128,0.8203,0.0032,0.7241,0.7197,0.303,0.0607,0.8964,0.4926,0.6437,0.745,0.7582,0.446,0.5941,0.7034,0.7267,0.4282,0.1913,-0.0009,0.0297,0.0112,0.0044,-0.11,-0.0513,-0.2608,0.0065,-0.0287,0.0323,-0.0348,0.0289,-0.0179,0.0216,-0.0052,0.527,0.6357,0.3737,0.0382,0.6365,0.325,0.1336,0.4198,0.0694,0.3742,,-0.0051
sma_5,-0.005,-0.0113,-0.0027,0.0223,0.0238,0.0459,-0.004,-0.026,0.029,1.0,-0.0109,0.9998,0.0015,0.9992,0.0214,0.9973,0.0454,0.994,0.0566,0.9876,0.0831,0.9999,0.0051,0.9995,0.0251,0.9981,0.0468,0.0461,0.0541,0.0806,0.0478,-0.0251,-0.0027,0.0223,0.0238,0.0459,0.0003,0.0219,0.0252,0.0472,-0.0254,-0.0446,-0.0568,-0.054,0.9464,-0.0623,-0.0249,-0.0698,-0.0233,-0.2594,-0.0143,-0.2703,-0.0085,-0.0168,-0.085,-0.1018,0.0164,0.0403,0.0736,0.968,0.0409,0.0013,-0.0447,-0.0226,0.0349,0.002,,0.0114
