symbol,sector,turnover_notional_inr,turnover_share_pct,realized_pnl_inr,pnl_contribution_pct
SIEMENS,Industrials,685220.65,1.95,68045.95,16.99
BEL,Industrials,1457577.77,4.15,65383.5,16.32
BPCL,Energy,1113144.86,3.17,64974.56,16.22
NTPC,Utilities,1444120.8,4.11,59619.3,14.88
TRENT,Consumer Goods,478370.72,1.36,36514.18,9.11
SUNPHARMA,Healthcare,1008119.67,2.87,25131.39,6.27
ONGC,Energy,1529603.11,4.36,23231.41,5.8
GRASIM,Materials,1116322.86,3.18,19911.15,4.97
JSWSTEEL,Materials,1760038.22,5.01,18105.57,4.52
CIPLA,Healthcare,1121760.54,3.2,16874.54,4.21
TCS,Information Technology,849703.31,2.42,16601.55,4.14
TECHM,Information Technology,1590150.22,4.53,16585.59,4.14
NESTLEIND,Consumer Goods,1141446.85,3.25,16034.83,4.0
KOTAKBANK,Financial Services,1004298.32,2.86,12565.02,3.14
POWERGRID,Utilities,1403186.44,4.0,12533.32,3.13
IOC,Energy,181850.84,0.52,9541.29,2.38
SBIN,Financial Services,122682.78,0.35,8994.03,2.25
DIVISLAB,Healthcare,332555.62,0.95,8094.88,2.02
HCLTECH,Information Technology,673427.66,1.92,6545.53,1.63
EICHERMOT,Automobile,835890.31,2.38,5731.8,1.43
M&M,Automobile,370606.7,1.06,5024.65,1.25
MARUTI,Automobile,107463.1,0.31,4987.37,1.24
TATACONSUM,Consumer Goods,1194011.32,3.4,3898.81,0.97
ITC,Consumer Goods,197857.46,0.56,3490.69,0.87
HINDUNILVR,Consumer Goods,1418705.61,4.04,3451.84,0.86
APOLLOHOSP,Healthcare,888464.87,2.53,1696.46,0.42
LT,Industrials,146918.04,0.42,1627.16,0.41
ADANIENT,Materials,1092788.53,3.11,549.12,0.14
YESBANK,Financial Services,0.0,0.0,0.0,0.0
BAJAJ-AUTO,Automobile,0.0,0.0,0.0,0.0
RELIANCE,Energy,0.0,0.0,0.0,0.0
HDFCBANK,Financial Services,0.0,0.0,0.0,0.0
ULTRACEMCO,Materials,105693.18,0.3,-568.39,-0.14
AXISBANK,Financial Services,124220.75,0.35,-1240.69,-0.31
BRITANNIA,Consumer Goods,155084.08,0.44,-1473.67,-0.37
ADANIPORTS,Industrials,749617.41,2.14,-1719.52,-0.43
JIOFIN,Financial Services,889317.08,2.53,-2657.27,-0.66
INFY,Information Technology,356704.04,1.02,-3988.61,-1.0
HAL,Industrials,571169.47,1.63,-6079.32,-1.52
ICICIBANK,Financial Services,210931.38,0.6,-6369.46,-1.59
BHARTIARTL,Communication Services,651426.61,1.86,-8846.4,-2.21
TATASTEEL,Materials,403494.23,1.15,-9037.48,-2.26
TITAN,Consumer Goods,557853.4,1.59,-10010.75,-2.5
COALINDIA,Utilities,1350175.42,3.85,-12115.03,-3.02
BAJFINANCE,Financial Services,722842.1,2.06,-13225.47,-3.3
DRREDDY,Healthcare,1401524.0,3.99,-18342.4,-4.58
WIPRO,Information Technology,997851.77,2.84,-18721.79,-4.67
HINDALCO,Materials,595244.23,1.7,-20744.23,-5.18
