symbol,total_bars,duplicate_timestamps,synthetic_bars,negative_prices,negative_volume,ohlc_violations,high_low_violations,open_close_violations,start_date,end_date,missing_trading_days,nan_rows,abnormal_jumps,corporate_actions,status,anomalies_count
HDFCBANK,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
ICICIBANK,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
SBIN,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
KOTAKBANK,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
AXISBANK,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
BAJFINANCE,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
JIOFIN,763,0,0,0,0,0,0,0,2023-08-21,2026-09-16,0,0,0,0,PASS,0
TCS,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
INFY,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
HCLTECH,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
WIPRO,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
TECHM,1240,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
RELIANCE,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
ONGC,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
BPCL,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
IOC,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
ITC,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
HINDUNILVR,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
NESTLEIND,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
BRITANNIA,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
TATACONSUM,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
TITAN,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
TRENT,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,1,0,PASS,0
MARUTI,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
M&M,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
BAJAJ-AUTO,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
EICHERMOT,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
SUNPHARMA,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
CIPLA,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
DRREDDY,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
DIVISLAB,1240,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
APOLLOHOSP,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
LT,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
BEL,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
HAL,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
SIEMENS,1240,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
TATASTEEL,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
JSWSTEEL,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
HINDALCO,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
GRASIM,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
ULTRACEMCO,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
NTPC,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
POWERGRID,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
COALINDIA,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
BHARTIARTL,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
ADANIPORTS,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
ADANIENT,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
YESBANK,1241,0,0,0,0,0,0,0,2021-09-16,2026-09-16,0,0,0,0,PASS,0
