strategy,period,start_date,end_date,total_return_pct,trading_cagr_pct,annualized_vol_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,turnover_x,total_costs_inr,closed_trades,win_rate_pct,profit_factor
Variant E: Turnover-Penalized Monthly + Deadband,Baseline (Frozen),2023-06-01,2024-04-30,21.06,24.1,11.16,1.418,2.154,5.87,4.109,3.84,12040.06,42,69.0,5.635
Benchmark: Equal Weight Broader Monthly,Baseline (Frozen),2023-06-01,2024-04-30,68.22,79.99,21.23,2.575,8.338,4.22,18.973,0.8,2803.91,132,94.7,244.891
Benchmark: Equal Weight Broader Weekly,Baseline (Frozen),2023-06-01,2024-04-30,70.18,82.37,21.21,2.64,8.598,4.23,19.456,1.12,4104.17,498,92.4,79.792
Benchmark: Equal Weight 5-Stock Weekly,Baseline (Frozen),2023-06-01,2024-04-30,14.8,16.88,11.72,0.841,1.269,8.57,1.97,0.88,2755.82,99,78.8,11.693
Benchmark: Simple Momentum Baseline Monthly,Baseline (Frozen),2023-06-01,2024-04-30,128.97,155.01,62.1,1.642,11.968,4.68,33.15,6.7,28614.77,146,66.4,4.246
Benchmark: Naive Baseline Monthly,Baseline (Frozen),2023-06-01,2024-04-30,129.86,156.14,61.34,1.665,12.334,4.93,31.67,6.56,28505.1,136,69.8,3.64
Variant E: Turnover-Penalized Monthly + Deadband,Extended OOS,2024-05-01,2026-09-16,65.11,23.75,25.63,0.689,2.158,8.23,2.886,7.84,31069.3,75,49.3,1.761
Benchmark: Equal Weight Broader Monthly,Extended OOS,2024-05-01,2026-09-16,49.79,18.73,15.79,0.755,1.257,11.25,1.665,1.29,4762.16,389,67.9,3.211
Benchmark: Equal Weight Broader Weekly,Extended OOS,2024-05-01,2026-09-16,49.39,18.6,15.72,0.751,1.241,11.36,1.638,2.13,7980.66,1468,58.2,2.189
Benchmark: Equal Weight 5-Stock Weekly,Extended OOS,2024-05-01,2026-09-16,27.52,10.88,22.32,0.277,0.589,22.24,0.489,1.91,7411.24,402,59.7,0.959
Benchmark: Simple Momentum Baseline Monthly,Extended OOS,2024-05-01,2026-09-16,34.78,13.52,23.02,0.377,0.724,14.46,0.935,18.57,66189.02,400,55.0,0.81
Benchmark: Naive Baseline Monthly,Extended OOS,2024-05-01,2026-09-16,25.23,10.03,21.97,0.242,0.454,19.48,0.515,18.0,60071.47,386,52.3,0.944
Variant E: Turnover-Penalized Monthly + Deadband,Full Multi-Year,2023-01-01,2026-09-16,70.18,15.71,12.58,0.707,1.178,8.17,1.923,13.77,52663.93,149,57.0,2.203
Benchmark: Equal Weight Broader Monthly,Full Multi-Year,2023-01-01,2026-09-16,169.75,31.31,16.83,1.316,2.568,11.52,2.718,1.75,9274.42,805,84.8,14.196
Benchmark: Equal Weight Broader Weekly,Full Multi-Year,2023-01-01,2026-09-16,172.5,31.68,16.82,1.333,2.594,11.63,2.723,2.94,16461.56,3084,74.6,5.427
Benchmark: Equal Weight 5-Stock Weekly,Full Multi-Year,2023-01-01,2026-09-16,44.62,10.66,19.33,0.28,0.553,22.27,0.479,2.48,9994.08,681,64.9,1.663
Benchmark: Simple Momentum Baseline Monthly,Full Multi-Year,2023-01-01,2026-09-16,234.78,39.33,36.01,0.886,2.951,14.66,2.683,29.0,208025.09,645,59.8,1.12
Benchmark: Naive Baseline Monthly,Full Multi-Year,2023-01-01,2026-09-16,199.6,35.15,35.19,0.813,2.698,19.93,1.764,28.06,185030.98,630,59.1,1.247
